,Total Traffic,Roadway Name,From,To,From Lat,From Lon,To Lat,To Lon
0,2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,40.5432265,-74.19728429999998,40.5425378,-74.19700920000002
1,6644,RICHMOND HILL ROAD,EDINBORO ROAD,FOREST HILL ROAD,40.5811932,-74.1530526,40.5806141,-74.15252690000001
2,7564,MORLEY AVENUE,DALTON  AVENUE,EBONY STREET,40.5754393,-74.12691079999998,40.575719799999995,-74.1260446
3,11599,OCEAN TERRACE,BUTTERWORTH AVENUE,COVERLY AVENUE,40.603703700000004,-74.1057907,40.6033573,-74.10474350000001
4,12945,LITTLE CLOVE RD,CAYUGA AVENUE,RENWICK AVENUE,40.610864299999996,-74.1004282,40.6111769,-74.1055983
5,13133,CLOVE RD,HOWARD AVENUE,LITTLE CLOVE ROAD,40.6124437,-74.0992938,40.6114204,-74.09862319999998
6,14602,HYLAN BOULEVARD,FINGERBOARD ROAD,RODERICK AVENUE,40.60147,-74.072462,40.6022245,-74.0735839
7,17319,86 STREET,7 AVENUE,14 AVENUE,40.6184722,-74.02121439999998,40.612735,-74.011712
8,17652,4 AVENUE,68 STREET,SENATOR STREET,40.635318,-74.023235,40.63611119999999,-74.02291290000001
9,18635,CROPSEY AVE ,BAY 22nd ST,BAY 23rd ST,40.6010201,-74.004363,40.600625,-74.00359449999998
10,18641,BATH AVE ,BAY 22nd ST,BAY 23rd ST,40.60226000000001,-74.003067,40.601865999999994,-74.002315
11,18653,BENSON AVE ,19th AVE,BAY 20th ST,40.60384699999999,-74.00263000000001,40.604259000000006,-74.00340899999998
12,18846,SHORE PKWY,BAY 46th ST,27th AVE,40.58715919999999,-73.99106979999998,40.5878012,-73.9914892
13,19202,86th ST ,W 11th ST,W 12th ST,40.5947705,-73.9819765,40.595417,-73.98306339999998
14,19244,KINGS HWY,W 11th ST,W 12th ST,40.6055885,-73.98404980000001,40.6057299,-73.9850137
15,19313,AVE U,W 10th ST,W 11th ST,40.5960832,-73.98127729999999,40.595985999999996,-73.9822198
16,19437,BAY RIDGE PKWY,11TH AVE,12TH AVE,40.622947499999995,-74.01185500000001,40.62160799999999,-74.0096391
17,19463,8 AVENUE,66 STREET,67 STREET,40.6320285,-74.01316429999999,40.63148169999999,-74.01373439999998
18,19566,65 STREET,10 AVENUE,11 AVENUE,40.629974,-74.008128,40.628644,-74.005926
19,19641,13 AVENUE,72 STREET,73 STREET,40.6220276,-74.00564849999998,40.621468,-74.00622709999998
20,19761,14 AVENUE,72 STREET,73 STREET,40.620689399999996,-74.00344129999998,40.6201427,-74.0040203
21,19805,60 STREET,11 AVENUE,12 AVENUE,40.6314949,-74.00295009999998,40.6301639,-74.00074190000001
22,19813,86th ST,19th AVE,20th AVE,40.605946,-74.00047719999998,40.6046104,-73.99827189999998
23,19991,18 AVENUE,72 STREET,73 STREET,40.61513100000001,-73.99422299999998,40.61456460000001,-73.99479529999999
24,20157,65 STREET,18 AVENUE,19 AVENUE,40.619131,-73.99018199999999,40.617852,-73.988066
25,20278,60 STREET,18 AVENUE,19 AVENUE,40.622021999999994,-73.987257,40.620712,-73.985087
26,20335,AVE P,W 10th ST,W 11th ST,40.6076639,-73.9834632,40.6075656,-73.98440169999998
27,20340,BAY PKWY,72nd ST,73rd ST,40.609891499999996,-73.9855594,40.6093338,-73.98613370000001
28,20561,7 AVENUE,65 STREET,66 STREET,40.633963200000004,-74.0147382,40.63353529999999,-74.0155872
29,21028,3 AVENUE,29 STREET,28 STREET,40.74257720000001,-73.98040959999999,40.7419747,-73.98086889999998
30,21033,3 AVENUE,28 STREET,29 STREET,40.7419747,-73.98086889999998,40.74257720000001,-73.98040959999999
31,21110,5 AVENUE,24 STREET,36 STREET,40.659669,-73.99516899999998,40.7497295,-73.98363859999999
32,21142,51 STREET,13 AVENUE,New Utrecht Avenue,40.633906,-73.9932783,40.63492479999999,-73.994962
